Family	Subfamily	Name	PFAM ID
C57	null	vaccinia virus I7L processing peptidase	PF03290
C58	C58A	YopT peptidase	PF03543
C58	C58B	HopN1 peptidase	PF03543
C59	null	penicillin V acylase precursor	PF02275
C60	C60A	sortase A	PF04203
C60	C60B	sortase B	PF04203
C60	C60B	sortase B	PF07170
C62	null	gill-associated virus 3C-like peptidase 	PF12380
C63	null	African swine fever virus processing peptidase	PF02902
C64	null	Cezanne peptidase	PF02338
C65	null	otubain-1 	PF10275
C66	null	IdeS peptidase	PF09028
C67	null	CylD peptidase	PF00443
C69	null	dipeptidase A	PF03577
C70	null	AvrRpt2 peptidase	PF12385
C71	null	pseudomurein endoisopeptidase Pei	PF12386
C74	null	pestivirus NS2 peptidase	PF12387
C75	null	AgrB peptidase 	PF04647
C76	null	viral tegument protein deubiquitinylating peptidase	PF04843
C78	null	UfSP1 peptidase	PF07910
C79	null	ElaD peptidase 	PF02902
C80	null	RTX self-cleaving toxin	PF11713
C82	C82A	L,D-transpeptidase	PF03734
C83	null	gamma-glutamylcysteine dipeptidyltranspeptidase	PF05023
C84	null	prtH peptidase	null
C85	C85A	OTLD1 deubiquitinylating enzyme	PF02338
C85	C85B	OTU1 peptidase	PF02338
C86	null	ataxin-3	PF02099
C87	null	nairovirus deubiquitinylating peptidase	PF02338
C89	null	acid ceramidase precursor	PF02275
C93	null	LapG peptidase	PF06035
C95	null	lysosomal 66.3 kDa protein 	PF04916
C96	null	McjB peptidase	PF13471
C97	null	DeSI-1 peptidase	PF05903
C98	null	USPL1 peptidase 	PF15499
C99	null	iflavirus processing peptidase	null
C100	null	agglutinin peptidase	null
C101	null	OTULIN peptidase	null
C102	null	GtgE peptidase	null
C104	null	PlyC phage lysin	null
C105	null	papain-like peptidase 1 alpha 	null
C107	null	alphamesonivirus 3C-like peptidase	null
C108	null	Prp peptidase	null
C110	null	kyphoscoliosis peptidase 	null
C111	null	coagulation factor XIIIa	null
C113	null	IgdE peptidase	null
C115	null	MINDY-1 protein	null
C116	null	dermonecrotic toxin	null
C117	null	SpvD g.p.	null
C118	null	EspL g.p.	null
G01	null	scytalidoglutamic peptidase	PF01828
G02	null	pre-neck appendage protein	PF11962
M1	null	aminopeptidase N	PF01433
M1	null	aminopeptidase N	PF13485
M2	null	angiotensin-converting enzyme peptidase unit 1	PF01401
M3	M3A	thimet oligopeptidase	PF01432
M3	M3B	oligopeptidase F	PF01432
M3	M3C	 Pz-peptidase A	null
M4	null	thermolysin	PF01447
M4	null	thermolysin	PF02868
M5	null	mycolysin	null
M6	null	immune inhibitor A peptidase	PF05547
M7	null	snapalysin	PF02031
M8	null	leishmanolysin	PF01457
M9	M9A	bacterial collagenase V	PF01752
M9	M9B	bacterial collagenase H	PF01752
M9	M9B	bacterial collagenase H	PF08453
M10	M10A	matrix metallopeptidase-1	PF00413
M10	M10B	serralysin	PF00413
M10	M10C	fragilysin	PF00413
M11	null	gametolysin	PF05548
M12	M12A	astacin	PF01400
M12	M12B	adamalysin	PF01421
M12	M12B	adamalysin	PF13574
M12	M12B	adamalysin	PF13582
M12	M12B	adamalysin	PF13583
M12	M12B	adamalysin	PF13688
M13	null	neprilysin	PF01431
M13	null	neprilysin	PF05649
M14	M14A	carboxypeptidase A1	PF00246
M14	M14B	carboxypeptidase E	PF00246
M14	M14C	gamma-D-glutamyl-(L)-meso-diaminopimelate peptidase I	PF00246
M14	M14C	gamma-D-glutamyl-(L)-meso-diaminopimelate peptidase I	PF01476
M14	M14D	cytosolic carboxypeptidase 6	PF00246
M15	M15A	zinc D-Ala-D-Ala carboxypeptidase	PF01471
M15	M15A	zinc D-Ala-D-Ala carboxypeptidase	PF05951
M15	M15A	zinc D-Ala-D-Ala carboxypeptidase	PF08291
M15	M15B	vanY D-Ala-D-Ala carboxypeptidase	PF02557
M15	M15C	Ply118 L-Ala-D-Glu peptidase 	PF01510
M15	M15C	Ply118 L-Ala-D-Glu peptidase 	PF02557
M15	M15C	Ply118 L-Ala-D-Glu peptidase 	PF13539
M16	M16A	pitrilysin	PF00675
M16	M16A	pitrilysin	PF05193
M16	M16B	mitochondrial processing peptidase beta-subunit 	PF00675
M16	M16B	mitochondrial processing peptidase beta-subunit 	PF05193
M16	M16C	eupitrilysin	PF00675
M16	M16C	eupitrilysin	PF05193
M17	null	leucine aminopeptidase 3	PF00883
M18	null	aminopeptidase I	PF02127
M19	null	membrane dipeptidase	PF01244
M20	M20A	glutamate carboxypeptidase	PF01546
M20	M20B	peptidase T	PF01546
M20	M20C	Xaa-His dipeptidase	PF01546
M20	M20D	carboxypeptidase Ss1	PF01546
M20	M20F	carnosine dipeptidase II 	PF01546
M23	M23A	beta-lytic metallopeptidase	PF01551
M23	M23B	lysostaphin	PF01551
M24	M24A	methionyl aminopeptidase 1	PF00557
M24	M24B	aminopeptidase P	PF00557
M26	null	IgA1-specific metallopeptidase	PF05342
M26	null	IgA1-specific metallopeptidase	PF07580
M27	null	tentoxilysin	PF01742
M28	M28A	aminopeptidase S	PF04389
M28	M28A	aminopeptidase S	PF09940
M28	M28B	glutamate carboxypeptidase II	PF04389
M28	M28C	IAP aminopeptidase	PF04389
M28	M28D	aminopeptidase ES-62	PF04389
M28	M28E	aminopeptidase Ap1	PF04389
M28	M28F	YwaD peptidase	null
M29	null	aminopeptidase T	PF02073
M30	null	hyicolysin	PF10026
M30	null	hyicolysin	PF10460
M30	null	hyicolysin	PF13485
M32	null	carboxypeptidase Taq 	PF02074
M34	null	anthrax lethal factor	PF07737
M35	null	deuterolysin	PF02102
M35	null	deuterolysin	PF14521
M36	null	fungalysin	PF02128
M38	null	isoaspartyl dipeptidase	PF00962
M38	null	isoaspartyl dipeptidase	PF01979
M38	null	isoaspartyl dipeptidase	PF04909
M38	null	isoaspartyl dipeptidase	PF07969
M38	null	isoaspartyl dipeptidase	PF12890
M38	null	isoaspartyl dipeptidase	PF13147
M38	null	isoaspartyl dipeptidase	PF13594
M41	null	FtsH peptidase	PF01434
M42	null	glutamyl aminopeptidase	PF05343
M43	M43A	cytophagalysin	PF05572
M43	M43B	pappalysin-1	PF05572
M44	null	pox virus metallopeptidase	PF03410
M48	M48A	Ste24 peptidase	PF01435
M48	M48B	HtpX peptidase	PF01435
M48	M48C	Oma1 peptidase	PF01435
M49	null	dipeptidyl-peptidase III 	PF03571
M50	M50A	site 2 peptidase	PF02163
M50	M50B	sporulation factor SpoIVFB	PF02163
M50	M50B	sporulation factor SpoIVFB	PF13398
M54	null	archaelysin	PF07998
M55	null	D-aminopeptidase DppA 	PF04951
M56	null	BlaR1 peptidase	PF05569
M57	null	prtB g.p.	PF12388
M60	null	enhancin	PF03272
M60	null	enhancin	PF13402
M61	null	glycyl aminopeptidase	PF05299
M61	null	glycyl aminopeptidase	PF13485
M64	null	IgA peptidase	PF09471
M66	null	StcE peptidase	PF10462
M67	M67A	RPN11 peptidase	PF01398
M67	M67A	RPN11 peptidase	PF05021
M67	M67A	RPN11 peptidase	PF14464
M67	M67B	JAMM-like protein	PF01398
M67	M67B	JAMM-like protein	PF14464
M67	M67C	STAMBP isopeptidase	PF01398
M72	null	peptidyl-Asp metallopeptidase	PF13574
M72	null	peptidyl-Asp metallopeptidase	PF13582
M72	null	peptidyl-Asp metallopeptidase	PF13583
M72	null	peptidyl-Asp metallopeptidase	PF13688
M73	null	camelysin	PF12389
M74	null	murein endopeptidase	PF03411
M75	null	imelysin	PF09375
M76	null	 Atp23 peptidase	PF09768
M77	null	tryptophanyl aminopeptidase 7-DMATS-type peptidase	PF11991
M78	null	ImmA peptidase	PF06114
M79	null	RCE1 peptidase	PF02517
M80	null	Wss1 peptidase	PF08325
M81	null	microcystinase MlrC	PF07171
M81	null	microcystinase MlrC	PF07364
M82	null	PrsW peptidase	PF10086
M82	null	PrsW peptidase	PF13367
M84	null	MpriBi peptidase	PF13582
M84	null	MpriBi peptidase	PF13688
M85	null	NleC peptidase 	PF13678
M86	null	PghP gamma-polyglutamate hydrolase 	PF05908
M87	null	chloride channel accessory protein 1 	PF08434
M88	null	IMPa peptidase	PF13402
M90	null	 MtfA peptidase	PF06167
M91	null	NleD peptidase	PF14891
M93	null	BACCAC_01431 g.p.	PF15890
M95	null	selecase	PF01863
M96	null	Tiki1 peptidase	PF01963
M97	null	EcxAB peptidase	null
M98	null	YghJ g.p.	PF13402
M99	null	Csd4 peptidase	null
M100	null	spartan peptidase	null
M101	null	flagellinolysin	null
M102	null	DA1 peptidase	null
N1	null	nodavirus peptide lyase	PF01829
N2	null	tetravirus coat protein	PF03566
N4	null	Tsh-associated self-cleaving domain	PF03797
N5	null	picobirnavirus self-cleaving protein	null
N6	null	YscU protein	PF01312
N7	null	reovirus type 1 coat protein	PF05993
N8	null	poliovirus capsid VP0-type self-cleaving protein	PF00073
N8	null	poliovirus capsid VP0-type self-cleaving protein	PF02226
N9	null	intein-containing V-type proton ATPase catalytic subunit A	PF05203
N10	null	intein-containing replicative DNA helicase precursor 	PF07591
N10	null	intein-containing replicative DNA helicase precursor 	PF14890
N11	null	intein-containing chloroplast ATP-dependent peptide lyase	PF00574
P1	null	DmpA aminopeptidase	PF03576
P2	P2A	EGF-like module containing mucin-like hormone receptor-like 2	PF00002
P2	P2B	polycystin-1	PF01825
S1	S1A	chymotrypsin A	PF00089
S1	S1A	chymotrypsin A	PF03761
S1	S1A	chymotrypsin A	PF13365
S1	S1B	glutamyl endopeptidase I 	PF13365
S1	S1C	DegP peptidase	PF00089
S1	S1C	DegP peptidase	PF13365
S1	S1D	 lysyl endopeptidase	PF00089
S1	S1D	 lysyl endopeptidase	PF13365
S1	S1E	streptogrisin A	PF00089
S1	S1F	astrovirus serine peptidase	PF13365
S3	null	togavirin	PF00944
S6	null	IgA1-specific serine peptidase	PF02395
S7	null	flavivirin	PF00949
S8	S8A	subtilisin Carlsberg	PF00082
S8	S8B	kexin	PF00082
S9	S9A	prolyl oligopeptidase	PF00326
S9	S9B	dipeptidyl-peptidase IV	PF00326
S9	S9B	dipeptidyl-peptidase IV	PF00756
S9	S9B	dipeptidyl-peptidase IV	PF12695
S9	S9B	dipeptidyl-peptidase IV	PF12697
S9	S9C	acylaminoacyl-peptidase	PF00135
S9	S9C	acylaminoacyl-peptidase	PF00326
S9	S9C	acylaminoacyl-peptidase	PF00756
S9	S9C	acylaminoacyl-peptidase	PF01738
S9	S9C	acylaminoacyl-peptidase	PF02230
S9	S9C	acylaminoacyl-peptidase	PF05728
S9	S9C	acylaminoacyl-peptidase	PF07859
S9	S9C	acylaminoacyl-peptidase	PF12695
S9	S9C	acylaminoacyl-peptidase	PF12697
S9	S9C	acylaminoacyl-peptidase	PF12715
S9	S9C	acylaminoacyl-peptidase	PF12740
S9	S9D	glutamyl endopeptidase C	PF00326
S9	S9D	glutamyl endopeptidase C	PF07859
S10	null	carboxypeptidase Y	PF00450
S11	null	D-Ala-D-Ala carboxypeptidase A	PF00144
S11	null	D-Ala-D-Ala carboxypeptidase A	PF00768
S11	null	D-Ala-D-Ala carboxypeptidase A	PF13354
S12	null	D-Ala-D-Ala carboxypeptidase B	PF00144
S13	null	D-Ala-D-Ala peptidase C	PF02113
S14	null	peptidase Clp	PF00574
S15	null	Xaa-Pro dipeptidyl-peptidase	PF02129
S15	null	Xaa-Pro dipeptidyl-peptidase	PF08840
S15	null	Xaa-Pro dipeptidyl-peptidase	PF12695
S15	null	Xaa-Pro dipeptidyl-peptidase	PF12697
S16	null	Lon-A peptidase	PF05362
S16	null	Lon-A peptidase	PF13541
S21	null	cytomegalovirus assemblin	PF00716
S24	null	repressor LexA	PF00717
S26	S26A	signal peptidase I	PF10502
S26	S26B	signalase	PF00461
S26	S26C	TraF peptidase	PF10502
S27	null	 lysosomal Pro-Xaa carboxypeptidase	PF05577
S29	null	hepacivirin	PF02907
S30	null	potyvirus P1 peptidase	PF01577
S31	null	pestivirus NS3 polyprotein peptidase	PF05578
S32	null	equine arteritis virus serine peptidase 	PF05579
S33	null	prolyl aminopeptidase	PF00561
S33	null	prolyl aminopeptidase	PF00975
S33	null	prolyl aminopeptidase	PF03096
S33	null	prolyl aminopeptidase	PF07819
S33	null	prolyl aminopeptidase	PF08386
S33	null	prolyl aminopeptidase	PF11339
S33	null	prolyl aminopeptidase	PF12146
S33	null	prolyl aminopeptidase	PF12147
S33	null	prolyl aminopeptidase	PF12695
S33	null	prolyl aminopeptidase	PF12697
S37	null	PS-10 peptidase	PF05576
S39	S39A	sobemovirus peptidase	PF02122
S39	S39B	luteovirus peptidase	PF02122
S41	S41A	C-terminal processing peptidase-1	PF03572
S41	S41B	tricorn core peptidas	PF03572
S41	S41B	tricorn core peptidas	PF14684
S45	null	penicillin G acylase precursor	PF01804
S46	null	dipeptidyl-peptidase 7	PF10459
S48	null	HetR putative peptidase	PF03574
S49	S49A	signal peptide peptidase A	PF01343
S49	S49A	signal peptide peptidase A	PF01972
S49	S49B	protein C 	PF01343
S49	S49C	archaean signal peptide peptidase 1 	PF01343
S49	S49C	archaean signal peptide peptidase 1 	PF01972
S50	null	infectious pancreatic necrosis birnavirus Vp4 peptidase	PF01768
S51	null	dipeptidase E	PF03575
S53	null	sedolisin	PF00082
S54	null	rhomboid-1	PF01694
S54	null	rhomboid-1	PF04511
S55	null	SpoIVB peptidase	PF05580
S59	null	nucleoporin 145	PF03093
S59	null	nucleoporin 145	PF04096
S60	null	lactoferrin	PF00405
S62	null	influenza A PA peptidase	PF00603
S64	null	Ssy5 peptidase	PF08192
S65	null	picornain-like serine peptidase	null
S66	null	murein tetrapeptidase LD-carboxypeptidase	PF02016
S68	null	PIDD auto-processing protein unit 1	PF10461
S69	null	Tellina virus 1 VP4 peptidase	PF01766
S71	null	MUC1 self-cleaving mucin	PF01390
S72	null	dystroglycan	PF05454
S73	null	gpO peptidase	PF05929
S74	null	Escherichia coli phage K1F endosialidase CIMCD self-cleaving protein	PF13884
S75	null	White bream virus serine peptidase	null
S77	null	prohead peptidase gp21	PF03420
S78	null	prohead peptidase 	PF04586
S79	null	CARD8 self-cleaving protein	PF13553
S80	null	prohead peptidase gp175	null
S81	null	destabilase	PF05497
S82	null	autocrine proliferation repressor protein A	null
T1	T1A	 archaean proteasome, beta component 	PF00227
T1	T1A	 archaean proteasome, beta component 	PF10584
T1	T1B	HslV component of HslUV peptidase	PF00227
T2	null	glycosylasparaginase precursor	PF01112
T3	null	gamma-glutamyltransferase 1	PF01019
T5	null	ornithine acetyltransferase precursor	PF01960
T7	null	CwpV	null
T8	null	HopB1 g.p. 	null
U32	null	collagenase	PF01136
U40	null	protein P5 murein endopeptidase	PF10464
U49	null	Lit peptidase	PF10463
U56	null	homomultimeric peptidase	PF04454
U57	null	yabG protein	PF05582
U62	null	microcin-processing peptidase 1	PF01523
U69	null	AIDA-I self-cleaving autotransporter protein	PF03212
U72	null	Dop isopeptidase	PF03136
U73	null	small protease	PF04264
U74	null	neprosin	PF03080
U75	null	Ras/Rap1-specific peptidase 	null
